Account Number,Account Name,Parent Account Number
1,PERMANENT CAPITAL ACCOUNTS,
10,CAPITAL,1
101,Capital (company or personal),10
1011,Subscribed but uncalled capital,101
1012,"Subscribed, called but unpaid capital",101
1013,"Subscribed, called and paid up capital",101
102,Premiums,10
1021,Premium on issue of capital,102
1022,Premium on mergers,102
1023,Premium on subscription in kind,102
1024,Premium on conversion of debentures into shares,102
103,Revaluation differences,10
1031,Difference on revaluation of non depreciable fixed assets,103
1032,Difference on revaluation of depreciable fixed assets,103
11,RESERVES,1
111,Legal reserves,11
112,Statutory and contrctual reserves,11
113,Other reserves,11
12,RESULTS BROUGHT FORWARD,1
121,Profits brought forward,12
125,Losses brought forward,12
13,NET RESULT FOR THE YEAR (PROFIT OR LOSS),1
131,Commercial margin (sales of goods - cost of sales),13
132,Added value (sales of production - cost of consumption),13
133,Gross operating profit/loss,13
134,Gross profit/loss before financial charges and income,13
135,Current results before tax,13
136,Non-operating results,13
138,Results for the year - profits,13
139,Results for the year - losses,13
14,INVESTMENTS SUBSIDIES,1
141,Investments subsidies received,14
145,Investments subsidies translated to results,14
15,PROVISIONS FOR CONTINGENCIES AND CHARGES,1
151,Provisions for contingencies,15
1511,Provisions for disputes and other probable contingencies,151
1512,Provisions for guarantees granted to customers,151
1513,Provisions for loss on exchange,151
1514,Provisions for losses on term contracts,151
1515,Provisions for fines and penalties,151
155,Provisions for charges,15
1551,Provisions for deferred charges,155
1552,Provisions for pension and related expenses,155
1553,Provisions for taxation,155
16,LONG AND MEDIUM TERMS LOANS,1
161,Loans against debenture bonds,16
162,Loan from lending establishments,16
168,Other loans and debts,16
1681,Bills payable for purchase of a trading company,168
1682,Deposits and guarantees,168
1683,Government advances,168
1684,Cumulative life annuity income,168
1689,Other long and medium term debts,168
18,ACCOUNTS WITH RELATED COMPANIES,1
181,Individual accounts,18
1811,Balance brought forward,181
1815,Movements of the financial year,181
186,Charges to branches,18
187,Revenue from branches,18
19,REVENUE AND EXPENSE AMALGAMATING ACCOUNTS,1
191,Commercial margin,19
192,Added value,19
193,Gross operating profits/losses,19
194,Gross profit/loss before financial charges and income,19
195,Current results before tax,19
196,Non-operating results,19
197,Results for the year,19
2,FIXED ASSETS ACCOUNT,
21,INTANGIBLE FIXED ASSETS,2
211,"Keymoney, Goodwill, Clientele, etc ...",21
212,Constitution expenses,21
213,Research and development cost,21
214,"Patents, Licenses, Copy rights and similar items",21
219,Other intangible fixed assets,21
2198,Advances made on account of intangible fixed assets,219
22,TANGIBLE FIXED ASSETS,2
221,Land,22
2211,Plain land,221
2212,Land with construction,221
2213,Leasehold land for exploration (mines etc...),221
2214,Land improvements,221
223,Buildings,22
2231,Buildings,223
2232,General improvements on buildings,223
2233,"Building infrastructures (run-way, barrage )",223
2234,Construction on third parties buildings,223
224,Technical installations and industrial machinery,22
2241,Specialized installations,224
2242,Special purpose installations,224
2243,Industrial equipment,224
2244,Industrial tools,224
225,Transport-vehicles,22
226,Other tangible fixed assets,22
2261,General installation and other repairs and maintenance,226
2262,Stationery for office and computer,226
2263,Furniture,226
2264,Agricultural investments,226
2265,Reusable wrapping material,226
227,Tangible fixed assets under construction,22
2271,Land,227
2273,Buildings,227
2274,"Technical, installation & industrial tools and equipment",227
2276,Other tangible fixed assets,227
228,Advances on purchase of tangible fixed assets,22
25,FINANCIAL FIXED ASSETS,2
251,Participation investments,25
252,Accounts receivable on participations,25
253,Other fixed investments,25
2531,Investments (shares & parts),253
2535,Debentures (bonds & coupons),253
255,Long and medium terms loans,25
2551,Loans to partners/shareholders,255
2552,Loans to employees,255
2558,Other loans,255
259,Other fixed accounts receivable,25
