id,Account Number,Account name,Parent Account Number,Arabic Account Name
1,1,,,الفئة الاولى - الرساميل الدائمة
2,10,,1,رأس  المال
3,101,,10,راس المال (للشركة او للشخص )
4,1011,,101,راس المال المكتتب غير المستدعى
5,1012,,101,راس المال المكتتب المستدعى وغير المدفوع
6,1013,,101,راس المال المكتتب المستدعى و المدفوع
7,102,,10,علاوات الاصدار والاندماج والمقدمات
8,1021,,102,علاوات الاصدار
9,1022,,102,علاوات الاندماج
10,1023,,102,علاوات المقدمات
11,1024,,102,علاوات تحويل السندات الى اسهم
12,103,,10,فروقات اعادة التخمين
13,1031,,103,فروقات اعادة ت ا ث غير القابلةللاستهلاك
14,1035,,103,فروقات اعادة ت ا  ث  القابلة للاستهلاك
15,109,,10,الحساب الشخصي لصاحب المؤسسة
16,11,,1,الاحتياطيات
17,111,,11,احتياطي قانوني
18,112,,11,احتياطيات نظامية و تعاقدية
19,119,,11,احتياطيات اخرى
20,12,,1,نتائج سابقة مدورة
21,121,,12,نتائج سابقة مدورة دائنة
22,125,,12,نتائج سابقة مدورة مدينة
23,13,,1,النتيجة الصافية للدورة المالية ر. أو  خ.
24,131,,13,الهامش التجارى القائم
25,132,,13,القيمة المضافة
26,133,,13,الفائض غير الصافي للاستثمار
27,134,,13,نتيجةالاستثمار خارج اعباء وايرادات مالية
28,135,,13,النتيجة الجارية قبل الضريبة
29,136,,13,النتيجة خارج الاستثمار
30,137,,13,Income Summary
31,138,,13,نتيجة الدورة - ارباح
32,139,,13,نتيجة الدورة - خسائر
33,14,,1,اعانات للتوظيفات
34,141,,14,اعانات للتوظيفات مقبوضة
35,145,,14,اعانات للتوظيفات  محولة للنتائج
36,15,,1,مؤونات لمواجهة اخطار واعباء
37,151,,15,مؤونات لمواجهة اخطار
38,1511,,151,مؤونات للمنازعات والاحتمالات المختلفة
39,1512,,151,مؤونات لقاء الضمانات المعطاة للزبائن
40,1513,,151,مؤونات خسائر سعر الصرف
41,1514,,151,مؤونات خسائر على  عقود لأجل
42,1515,,151,مؤونات الغرامات و الجزاءات
43,155,,15,مؤونات لمواجهة أعباء
44,1551,,155,مؤ.أعباء واجب توزيعهاعلى عدةدورات مالية
45,1552,,155,مؤ.لمواجهة معاشات التقاعد وموجبات مماثلة
46,1553,,155,مؤونات للضرائب
47,16,,1,ديون مالية طويلة ومتوسطة الأجل
48,161,,16,قروض لقاء سندات دين
49,162,,16,قروض  من مؤسسات التسليف
50,168,,16,قروض  و ديون مختلفة
51,1681,,168,أوراق دفع ناجمة عن شراء المؤسسة التجارية
52,1682,,168,ودائع و كفالات
53,1683,,168,سلفات الدولة
54,1684,,168,دخل لمدى الحياة متراكم
55,1689,,168,ديون أخرى طويلة ومتوسطة الأجل
56,18,,1,ح.ارتباط مؤسسات وفروع وشركات المشاركة
57,181,,18,ح.ارتباط م.ف.ش .المشاركة(ح.لكل مؤسسة)
58,1811,,181,رصيد مدور
59,1815,,181,حركات الدورة المالية
