code,category_code,category_name,subcategory_code,subcategory_name,color_code,color_name,thickness_code,thickness_mm,error
00100-020-4,00,Float,14,Undefined for category,00,Matt,020,2.0,
00101-020-4,00,Float,14,Undefined for category,01,Clear,020,2.0,
00101-027-4,00,Float,14,Undefined for category,01,Clear,027,2.7,
00101-030-4,00,Float,14,Undefined for category,01,Clear,030,3.0,
00101-032-4,00,Float,14,Undefined for category,01,Clear,032,3.2,
00101-040-4,00,Float,14,Undefined for category,01,Clear,040,4.0,
00101-047-4,00,Float,14,Undefined for category,01,Clear,047,4.7,
00101-050-4,00,Float,14,Undefined for category,01,Clear,050,5.0,
00101-050-4,00,Float,14,Undefined for category,01,Clear,050,5.0,
00101-055-0,00,Float,10,Float,01,Clear,055,5.5,
00101-055-1,00,Float,11,Float Jumbo,01,Clear,055,5.5,
00101-055-4,00,Float,14,Undefined for category,01,Clear,055,5.5,
00101-060-4,00,Float,14,Undefined for category,01,Clear,060,6.0,
00101-060-9,00,Float,19,Undefined for category,01,Clear,060,6.0,
00101-080-4,00,Float,14,Undefined for category,01,Clear,080,8.0,
00101-080-7,00,Float,17,Undefined for category,01,Clear,080,8.0,
00101-080-8,00,Float,18,Undefined for category,01,Clear,080,8.0,
00101-080-9,00,Float,19,Undefined for category,01,Clear,080,8.0,
00101-100-1,00,Float,11,Float Jumbo,01,Clear,100,10.0,
00101-100-4,00,Float,14,Undefined for category,01,Clear,100,10.0,
00101-100-7,00,Float,17,Undefined for category,01,Clear,100,10.0,
00101-100-8,00,Float,18,Undefined for category,01,Clear,100,10.0,
00101-100-9,00,Float,19,Undefined for category,01,Clear,100,10.0,
00101-120-4,00,Float,14,Undefined for category,01,Clear,120,12.0,
00101-120-8,00,Float,18,Undefined for category,01,Clear,120,12.0,
00101-150-4,00,Float,14,Undefined for category,01,Clear,150,15.0,
00101-150-5,00,Float,15,Undefined for category,01,Clear,150,15.0,
00101-150-6,00,Float,16,Undefined for category,01,Clear,150,15.0,
00101-190-4,00,Float,14,Undefined for category,01,Clear,190,19.0,
00101-190-5,00,Float,15,Undefined for category,01,Clear,190,19.0,
00102-040-4,00,Float,14,Undefined for category,02,Grey,040,4.0,
00102-050-4,00,Float,14,Undefined for category,02,Grey,050,5.0,
00102-055-1,00,Float,11,Float Jumbo,02,Grey,055,5.5,
00102-055-4,00,Float,14,Undefined for category,02,Grey,055,5.5,
00102-060-4,00,Float,14,Undefined for category,02,Grey,060,6.0,
00102-080-4,00,Float,14,Undefined for category,02,Grey,080,8.0,
00102-100-4,00,Float,14,Undefined for category,02,Grey,100,10.0,
00102-120-4,00,Float,14,Undefined for category,02,Grey,120,12.0,
00103-030-4,00,Float,14,Undefined for category,03,Bronze,030,3.0,
00103-037-4,00,Float,14,Undefined for category,03,Bronze,037,3.7,
00103-040-4,00,Float,14,Undefined for category,03,Bronze,040,4.0,
00103-050-4,00,Float,14,Undefined for category,03,Bronze,050,5.0,
00103-055-0,00,Float,10,Float,03,Bronze,055,5.5,
00103-055-1,00,Float,11,Float Jumbo,03,Bronze,055,5.5,
00103-055-4,00,Float,14,Undefined for category,03,Bronze,055,5.5,
00103-060-4,00,Float,14,Undefined for category,03,Bronze,060,6.0,
00103-080-4,00,Float,14,Undefined for category,03,Bronze,080,8.0,
00103-100-4,00,Float,14,Undefined for category,03,Bronze,100,10.0,
00103-120-4,00,Float,14,Undefined for category,03,Bronze,120,12.0,
00104-055-4,00,Float,14,Undefined for category,04,Green,055,5.5,
00104-080-4,00,Float,14,Undefined for category,04,Green,080,8.0,
00104-100-4,00,Float,14,Undefined for category,04,Green,100,10.0,
00104-120-4,00,Float,14,Undefined for category,04,Green,120,12.0,
00105-050-4,00,Float,14,Undefined for category,05,Dark Green,050,5.0,
00105-053-4,00,Float,14,Undefined for category,05,Dark Green,053,5.3,
00105-053-4,00,Float,14,Undefined for category,05,Dark Green,053,5.3,
00105-055-4,00,Float,14,Undefined for category,05,Dark Green,055,5.5,
00105-055-4,00,Float,14,Undefined for category,05,Dark Green,055,5.5,
00105-055-4,00,Float,14,Undefined for category,05,Dark Green,055,5.5,
00106-055-1,00,Float,11,Float Jumbo,06,Blue,055,5.5,
00106-055-4,00,Float,14,Undefined for category,06,Blue,055,5.5,
00106-060-4,00,Float,14,Undefined for category,06,Blue,060,6.0,
00106-080-4,00,Float,14,Undefined for category,06,Blue,080,8.0,
00106-100-4,00,Float,14,Undefined for category,06,Blue,100,10.0,
00107-050-4,00,Float,14,Undefined for category,07,Dark Blue,050,5.0,
00107-050-4,00,Float,14,Undefined for category,07,Dark Blue,050,5.0,
00107-053-4,00,Float,14,Undefined for category,07,Dark Blue,053,5.3,
00107-053-4,00,Float,14,Undefined for category,07,Dark Blue,053,5.3,
00107-055-4,00,Float,14,Undefined for category,07,Dark Blue,055,5.5,
00107-060-4,00,Float,14,Undefined for category,07,Dark Blue,060,6.0,
00108-060-4,00,Float,14,Undefined for category,08,Blue-Green,060,6.0,
