categoryName,subCategory,colorName,designName,itemNumber
Float,Undefined for category,Matt,,00100-020-4
Float,Undefined for category,Clear,,00101-020-4
Float,Undefined for category,Clear,,00101-027-4
Float,Undefined for category,Clear,,00101-030-4
Float,Undefined for category,Clear,,00101-032-4
Float,Undefined for category,Clear,,00101-040-4
Float,Undefined for category,Clear,,00101-047-4
Float,Undefined for category,Clear,,00101-050-4
Float,Float,Clear,,00101-055-0
Float,Float Jumbo,Clear,,00101-055-1
Float,Undefined for category,Clear,,00101-055-4
Float,Undefined for category,Clear,,00101-060-4
Float,Undefined for category,Clear,,00101-060-9
Float,Undefined for category,Clear,,00101-080-4
Float,Undefined for category,Clear,,00101-080-7
Float,Undefined for category,Clear,,00101-080-8
Float,Undefined for category,Clear,,00101-080-9
Float,Float Jumbo,Clear,,00101-100-1
Float,Undefined for category,Clear,,00101-100-4
Float,Undefined for category,Clear,,00101-100-7
Float,Undefined for category,Clear,,00101-100-8
Float,Undefined for category,Clear,,00101-100-9
Float,Undefined for category,Clear,,00101-120-4
Float,Undefined for category,Clear,,00101-120-8
Float,Undefined for category,Clear,,00101-120-9
Float,Undefined for category,Clear,,00101-150-4
Float,Undefined for category,Clear,,00101-150-5
Float,Undefined for category,Clear,,00101-150-6
Float,Undefined for category,Clear,,00101-190-4
Float,Undefined for category,Clear,,00101-190-5
Float,Undefined for category,Grey,,00102-040-4
Float,Undefined for category,Grey,,00102-050-4
Float,Float Jumbo,Grey,,00102-055-1
Float,Undefined for category,Grey,,00102-055-4
Float,Undefined for category,Grey,,00102-060-4
Float,Undefined for category,Grey,,00102-080-4
Float,Undefined for category,Grey,,00102-100-4
Float,Undefined for category,Grey,,00102-120-4
Float,Undefined for category,Bronze,,00103-030-4
Float,Undefined for category,Bronze,,00103-037-4
Float,Undefined for category,Bronze,,00103-040-4
Float,Undefined for category,Bronze,,00103-050-4
Float,Float,Bronze,,00103-055-0
Float,Float Jumbo,Bronze,,00103-055-1
Float,Undefined for category,Bronze,,00103-055-4
Float,Undefined for category,Bronze,,00103-060-4
Float,Undefined for category,Bronze,,00103-080-4
Float,Undefined for category,Bronze,,00103-100-4
Float,Undefined for category,Bronze,,00103-120-4
Float,Undefined for category,Green,,00104-055-4
Float,Undefined for category,Green,,00104-080-4
Float,Undefined for category,Green,,00104-100-4
Float,Undefined for category,Green,,00104-120-4
Float,Undefined for category,Dark Green,,00105-050-4
Float,Undefined for category,Dark Green,,00105-053-4
Float,Undefined for category,Dark Green,,00105-053-4
Float,Undefined for category,Dark Green,,00105-055-4
Float,Undefined for category,Dark Green,,00105-055-4
Float,Undefined for category,Dark Green,,00105-055-4
Float,Float Jumbo,Blue,,00106-055-1
Float,Undefined for category,Blue,,00106-055-4
Float,Undefined for category,Blue,,00106-060-4
Float,Undefined for category,Blue,,00106-080-4
Float,Undefined for category,Blue,,00106-100-4
Float,Undefined for category,Dark Blue,,00107-050-4
Float,Undefined for category,Dark Blue,,00107-053-4
Float,Undefined for category,Dark Blue,,00107-055-4
Float,Undefined for category,Dark Blue,,00107-060-4
Float,Undefined for category,Blue-Green,,00108-060-4
Float,Undefined for category,Blue-Green,,00108-060-4
Float,Undefined for category,Dark Grey,,00109-055-4
Float,Undefined for category,Pink,,00111-060-4
Reflective,Undefined for category,Clear,,01101-055-4
Reflective,Undefined for category,Clear,,01101-060-4
Reflective,Undefined for category,Clear,,01101-080-4
Reflective,Undefined for category,Grey,,01102-040-4
Reflective,Undefined for category,Grey,,01102-053-4
Reflective,Undefined for category,Grey,,01102-055-4
Reflective,Undefined for category,Grey,,01102-060-4
Reflective,Undefined for category,Grey,,01102-080-4
Reflective,Undefined for category,Grey,,01102-100-4
Reflective,Undefined for category,Bronze,,01103-040-4
Reflective,Undefined for category,Bronze,,01103-040-4
Reflective,Undefined for category,Bronze,,01103-050-4
