ItemName,ItemType,Thick
تريبلكس ابيض جامبو,sheet,10.2
تريبلكس ابيض,box,10.2
تريبلكس ابيض,sheet,10.2
تريبلكس ابيض,sqm,10.2
تريبلكسSilence,box,10.2
تريبلكسSilence,sheet,10.2
تريبلكسSilence,sqm,10.2
LOW-E N70,box,10
LOW-E N70,sheet,10
ابيض جامبو,box,10
ابيض جامبو,sheet,10
ابيض جامبو,sqm,10
ابيض,box,10
ابيض,sheet,10
ابيض,sqm,10
اخضر فاتح,box,10
اخضر فاتح,sheet,10
اخضر فاتح,sqm,10
ازرق فاتح,box,10
ازرق فاتح,sheet,10
ازرق فاتح,sqm,10
اسود,box,10
اسود,sheet,10
اسود,sqm,10
برش ابيض,box,10
برش ابيض,sheet,10
برش ابيض,sqm,10
برونز,box,10
برونز,sheet,10
برونز,sqm,10
تريبلكس ابيض,box,10
تريبلكس ابيض,sheet,10
تريبلكس ابيض,sqm,10
تريبلكس برونز,box,10
تريبلكس برونز,sheet,10
تريبلكس برونز,sqm,10
تريبلكس مغشى,box,10
تريبلكس مغشى,sheet,10
تريبلكس مغشى,sqm,10
عاكس LOW-E,sqm,10
عاكس اسود,box,10
عاكس اسود,sheet,10
عاكس اسود,sqm,10
عاكس برونز,box,10
عاكس برونز,sheet,10
عاكس برونز,sqm,10
كريستال,box,10
كريستال,sheet,10
كريستال,sqm,10
مغشى اسيد,box,10
مغشى اسيد,sheet,10
مغشى اسيد,sqm,10
تريبلكس ابيض,box,12.2
تريبلكس ابيض,sheet,12.2
تريبلكس ابيض,sqm,12.2
تريبلكسSilence,box,12.2
تريبلكسSilence,sheet,12.2
تريبلكسSilence,sqm,12.2
ابيض جامبو,box,12
ابيض جامبو,sheet,12
ابيض جامبو,sqm,12
ابيض,box,12
ابيض,sheet,12
ابيض,sqm,12
اخضر فاتح,box,12
اخضر فاتح,sheet,12
اخضر فاتح,sqm,12
اسود,box,12
اسود,sheet,12
اسود,sqm,12
برونز,box,12
برونز,sheet,12
برونز,sqm,12
تريبلكس ابيض,box,12
تريبلكس ابيض,sheet,12
تريبلكس ابيض,sqm,12
تريبلكس برونز,box,12
تريبلكس برونز,sheet,12
تريبلكس برونز,sqm,12
تريبلكس مغشى,box,12
تريبلكس مغشى,sheet,12
تريبلكس مغشى,sqm,12
كريستال,box,12
كريستال,sheet,12
كريستال,sqm,12
مغشى اسيد,box,12
مغشى اسيد,sheet,12
مغشى اسيد,sqm,12
ابيض,box,15
ابيض,sheet,15
ابيض,sqm,15
كريستال جامبو,box,15
كريستال جامبو,sheet,15
كريستال,box,15
كريستال,sheet,15
كريستال,sqm,15
تريبلكس ابيض,box,16.2
تريبلكس ابيض,sheet,16.2
تريبلكس ابيض,sqm,16.2
تريبلكس مغشى,box,16.2
تريبلكس مغشى,sheet,16.2
تريبلكس مغشى,sqm,16.2
ابيض,box,19
ابيض,sheet,19
ابيض,sqm,19
كريستال,box,19
كريستال,sheet,19
كريستال,sqm,19
ابيض,box,2.7
ابيض,sheet,2.7
ابيض,sqm,2.7
ابيض,box,2
ابيض,sheet,2
ابيض,sqm,2
مات,box,2
مات,sheet,2
