id,length,width,sheetsPerBox,origin,itemNameDescriptionId,thicknessId,thickness,ItemName
338,132,91,130,PFG,1,,2,مات
1561,183,122,,PFG,1,,2,مات
5125,183,122,,Zeduan,1,,2,مات
339,183,122,90,PFG,1,,2,مات
5126,183,122,210,Zeduan,1,,2,مات
3136,184,124,,Pilkington,1,,2,مات
1562,184,124,,PFG,1,,2,مات
340,184,124,90,PFG,1,,2,مات
3137,184,124,100,Pilkington,1,,2,مات
2446,,,,,1,,2,مات
1223,183,122,,TGQingdao,1,,2,مات
5127,183,122,,Zeduan,2,,2,ابيض
4497,183,122,,Mulia Glass,2,,2,ابيض
1,183,122,90,TGQingdao,2,,2,ابيض
5244,183,122,100,Zeduan,2,,2,ابيض
4498,183,122,199,Mulia Glass,2,,2,ابيض
5128,183,122,205,Zeduan,2,,2,ابيض
1224,183,137,,Taiwan,2,,2,ابيض
2,183,137,100,Taiwan,2,,2,ابيض
3302,113,161,,Sphinx,2,,2,ابيض
3737,113,161,100,Sphinx,2,,2,ابيض
1226,225,161,,Sphinx,2,,2,ابيض
3,225,161,94,Sphinx,2,,2,ابيض
4,225,161,100,Sphinx,2,,2,ابيض
2447,,,,,2,,2.7,ابيض
1228,225,161,,Sphinx,2,,2.7,ابيض
6,225,161,88,Sphinx,3,,2.7,ابيض
2450,,,,,3,,3,ابيض
3662,225,161,,Obeikan,3,,3,ابيض
1230,225,161,,SISECAM,4,,3,ابيض
4642,225,161,44,SISECAM,4,,3,ابيض
4637,225,161,46,SISECAM,4,,3,ابيض
4639,225,161,48,SISECAM,4,,3,ابيض
4640,225,161,50,SISECAM,4,,3,ابيض
4641,225,161,53,SISECAM,4,,3,ابيض
4638,225,161,54,SISECAM,4,,3,ابيض
4636,225,161,55,SISECAM,4,,3,ابيض
4635,225,161,56,SISECAM,4,,3,ابيض
8,225,161,57,SISECAM,4,,3,ابيض
3231,225,161,58,SISECAM,4,,3,ابيض
3663,225,161,88,Obeikan,4,,3,ابيض
5190,240,161,,SISECAM,4,,3,ابيض
5191,240,161,55,SISECAM,4,,3,ابيض
3654,321,225,,SISECAM,4,,3,ابيض
3655,321,225,44,SISECAM,4,,3,ابيض
4319,,,,Sphinx,4,,3.2,ابيض
3618,244,183,,Sphinx,4,,3.2,ابيض
3619,244,183,58,Sphinx,5,,3.2,ابيض
2453,,,,,5,,4,ابيض
4478,244,153,,SISECAM,5,,4,ابيض
4479,244,153,45,SISECAM,6,,4,ابيض
4885,200,161,,Obeikan,6,,4,ابيض
1232,225,161,,SISECAM,6,,4,ابيض
3627,225,161,,Obeikan,6,,4,ابيض
1233,225,161,,Sphinx,6,,4,ابيض
4981,225,161,,Kaveh,6,,4,ابيض
10,225,161,43,SISECAM,6,,4,ابيض
4982,225,161,43,Kaveh,6,,4,ابيض
3194,225,161,44,SISECAM,6,,4,ابيض
3477,225,161,46,SISECAM,6,,4,ابيض
11,225,161,59,Sphinx,6,,4,ابيض
3628,225,161,67,Obeikan,6,,4,ابيض
5143,240,161,,SISECAM,6,,4,ابيض
5144,240,161,41,SISECAM,6,,4,ابيض
3609,255,161,,SISECAM,6,,4,ابيض
3610,255,161,49,SISECAM,6,,4,ابيض
4474,244,183,,SISECAM,6,,4,ابيض
4475,244,183,45,SISECAM,6,,4,ابيض
3625,321,200,,Obeikan,6,,4,ابيض
1234,321,200,,SISECAM,6,,4,ابيض
3304,321,200,32,SISECAM,6,,4,ابيض
3626,321,200,36,Obeikan,6,,4,ابيض
12,321,200,37,SISECAM,6,,4,ابيض
1235,330,200,,Sphinx,6,,4,ابيض
13,330,200,32,Sphinx,6,,4,ابيض
1236,321,210,,SISECAM,6,,4,ابيض
14,321,210,31,SISECAM,6,,4,ابيض
4476,305,214,,SISECAM,6,,4,ابيض
4477,305,214,38,SISECAM,6,,4,ابيض
3611,321,214,,SISECAM,6,,4,ابيض
3612,321,214,39,SISECAM,6,,4,ابيض
1237,321,225,,SISECAM,6,,4,ابيض
3637,321,225,,Obeikan,6,,4,ابيض
3232,321,225,29,SISECAM,6,,4,ابيض
15,321,225,30,SISECAM,6,,4,ابيض
3638,321,225,33,Obeikan,6,,4,ابيض
4481,321,225,34,SISECAM,6,,4,ابيض
1238,330,225,,Sphinx,6,,4,ابيض
16,330,225,28,Sphinx,6,,4,ابيض
1239,321,240,,SISECAM,6,,4,ابيض
17,321,240,27,SISECAM,6,,4,ابيض
1240,321,255,,SISECAM,6,,4,ابيض
18,321,255,25,SISECAM,6,,4,ابيض
4320,,,,Sphinx,6,,4.7,ابيض
3620,244,183,,Sphinx,6,,4.7,ابيض
3621,244,183,40,Sphinx,7,,4.7,ابيض
2454,,,,,7,,5,ابيض
4468,244,153,,SISECAM,7,,5,ابيض
4469,244,153,36,SISECAM,9,,5,ابيض
1241,225,161,,SISECAM,9,,5,ابيض
19,225,161,40,SISECAM,9,,5,ابيض
4833,225,165,,Kaveh,9,,5,ابيض
4834,225,165,35,Kaveh,9,,5,ابيض
4470,244,183,,SISECAM,9,,5,ابيض
4827,244,183,,Kaveh,9,,5,ابيض
4828,244,183,35,Kaveh,9,,5,ابيض
4471,244,183,36,SISECAM,9,,5,ابيض
4835,321,200,,Kaveh,9,,5,ابيض
4523,321,200,,SISECAM,9,,5,ابيض
4836,321,200,25,Kaveh,9,,5,ابيض
4799,321,200,30,SISECAM,9,,5,ابيض
4524,321,200,31,SISECAM,9,,5,ابيض
4865,330,200,,Kaveh,9,,5,ابيض
4866,330,200,25,Kaveh,9,,5,ابيض
5131,321,210,,Kaveh,9,,5,ابيض
5132,321,210,25,Kaveh,9,,5,ابيض
4466,305,214,,SISECAM,9,,5,ابيض
4467,305,214,30,SISECAM,9,,5,ابيض
4525,321,214,,SISECAM,9,,5,ابيض
4945,321,214,,Kaveh,9,,5,ابيض
4899,321,214,24,SISECAM,9,,5,ابيض
4946,321,214,25,Kaveh,9,,5,ابيض
4526,321,214,27,SISECAM,9,,5,ابيض
4586,321,214,30,SISECAM,9,,5,ابيض
5133,321,214,30,SISECAM,9,,5,ابيض
4851,330,214,,Kaveh,9,,5,ابيض
4852,330,214,25,Kaveh,9,,5,ابيض
4472,321,225,,SISECAM,9,,5,ابيض
4947,321,225,,Kaveh,9,,5,ابيض
4948,321,225,25,Kaveh,9,,5,ابيض
4473,321,225,27,SISECAM,9,,5,ابيض
4837,330,225,,Kaveh,9,,5,ابيض
4838,330,225,25,Kaveh,9,,5,ابيض
1242,366,225,,Sphinx,9,,5,ابيض
5238,366,225,,Grand Star,9,,5,ابيض
20,366,225,21,Sphinx,9,,5,ابيض
5239,366,225,25,Grand Star,9,,5,ابيض
3681,225,161,,SISECAM,9,,5.5,ابيض
3682,225,161,31,SISECAM,9,,5.5,ابيض
4829,225,165,,Kaveh,10,,5.5,ابيض
4830,225,165,32,Kaveh,10,,5.5,ابيض
3541,,,,,10,,5.5,ابيض
3504,244,183,,Sphinx Transition,10,,5.5,ابيض
3505,244,183,35,Sphinx Transition,11,,5.5,ابيض
1256,330,200,,Sphinx Transition,11,,5.5,ابيض
34,330,200,23,Sphinx Transition,11,,5.5,ابيض
1260,330,205,,Sphinx Transition,11,,5.5,ابيض
38,330,205,23,Sphinx Transition,11,,5.5,ابيض
1264,321,214,,Sphinx Transition,11,,5.5,ابيض
42,321,214,22,Sphinx Transition,11,,5.5,ابيض
1265,330,214,,Sphinx Transition,11,,5.5,ابيض
43,330,214,22,Sphinx Transition,11,,5.5,ابيض
1273,321,225,,Trakya Transition,11,,5.5,ابيض
51,321,225,21,Trakya Transition,11,,5.5,ابيض
1276,330,225,,Sphinx Transition,11,,5.5,ابيض
54,330,225,21,Sphinx Transition,11,,5.5,ابيض
1292,,,,,11,,5.5,ابيض
4445,,,,Kaveh,11,,5.5,ابيض
1246,321,170,,SISECAM,12,,5.5,ابيض
23,321,170,27,SISECAM,12,,5.5,ابيض
24,321,170,30,SISECAM,12,,5.5,ابيض
4325,321,170,31,SISECAM,12,,5.5,ابيض
3762,330,170,,Obeikan,12,,5.5,ابيض
3763,330,170,31,Obeikan,12,,5.5,ابيض
1248,321,180,,SISECAM,12,,5.5,ابيض
3613,321,180,,Obeikan,12,,5.5,ابيض
3223,321,180,25,SISECAM,12,,5.5,ابيض
25,321,180,28,SISECAM,12,,5.5,ابيض
26,321,180,29,SISECAM,12,,5.5,ابيض
3614,321,180,30,Obeikan,12,,5.5,ابيض
3764,330,180,,Obeikan,12,,5.5,ابيض
2946,330,180,,Guardian,12,,5.5,ابيض
2947,330,180,25,Guardian,12,,5.5,ابيض
3768,330,180,27,Obeikan,12,,5.5,ابيض
3765,330,180,29,Obeikan,12,,5.5,ابيض
4938,244,183,,Kaveh,12,,5.5,ابيض
4939,244,183,32,Kaveh,12,,5.5,ابيض
5141,321,183,,Saint Gobain,12,,5.5,ابيض
5142,321,183,32,Saint Gobain,12,,5.5,ابيض
3470,330,183,,Sphinx,12,,5.5,ابيض
1249,330,183,,UFG,12,,5.5,ابيض
4940,330,183,,Kaveh,12,,5.5,ابيض
4941,330,183,23,Kaveh,12,,5.5,ابيض
3471,330,183,25,Sphinx,12,,5.5,ابيض
