id,categoryName,subCategory,colorName,designName,itemNumber,,ItemNumberForVarients,itemdescription id
1,Float,Normal,مات,,00100-020-4,,00100-020-4,1
2,Float,Normal,ابيض,,00101-020-4,,00100-020-4,1
3,Float,Normal,ابيض,,00101-027-4,,00100-020-4,1
4,Float,Normal,ابيض,,00101-030-4,,00100-020-4,1
5,Float,Normal,ابيض,,00101-032-4,,00100-020-4,1
6,Float,Normal,ابيض,,00101-040-4,,00100-020-4,1
7,Float,Normal,ابيض,,00101-047-4,,00100-020-4,1
8,Float,Normal,ابيض,,00101-050-4,,00100-020-4,1
9,Float,Normal,ابيض,,00101-050-4,,00100-020-4,1
10,Float,Split,ابيض,,00101-055-0,,00100-020-4,1
11,Float,Transition,ابيض,,00101-055-1,,00100-020-4,1
12,Float,Normal,ابيض,,00101-055-4,,00100-020-4,1
13,Float,Normal,ابيض,,00101-060-4,,00101-020-4,2
14,Float,Jumbo 321,ابيض,,00101-060-9,,00101-020-4,2
15,Float,Normal,ابيض,,00101-080-4,,00101-020-4,2
16,Float,Jumbo 280,ابيض,,00101-080-7,,00101-020-4,2
17,Float,Jumbo 450,ابيض,,00101-080-8,,00101-020-4,2
18,Float,Jumbo 321,ابيض,,00101-080-9,,00101-020-4,2
19,Float,Transition,ابيض,,00101-100-1,,00101-020-4,2
20,Float,Normal,ابيض,,00101-100-4,,00101-020-4,2
21,Float,Jumbo 280,ابيض,,00101-100-7,,00101-020-4,2
22,Float,Jumbo 450,ابيض,,00101-100-8,,00101-020-4,2
23,Float,Jumbo 321,ابيض,,00101-100-9,,00101-020-4,2
24,Float,Normal,ابيض,,00101-120-4,,00101-020-4,2
25,Float,Jumbo 450,ابيض,,00101-120-8,,00101-020-4,2
26,Float,Normal,ابيض,,00101-150-4,,00101-020-4,2
27,Float,Size 244,ابيض,,00101-150-5,,00101-020-4,2
28,Float,Size 255,ابيض,,00101-150-6,,00101-027-4,3
29,Float,Normal,ابيض,,00101-190-4,,00101-027-4,3
30,Float,Size 244,ابيض,,00101-190-5,,00101-027-4,3
31,Float,Normal,اسود,,00102-040-4,,00101-030-4,4
32,Float,Normal,اسود,,00102-050-4,,00101-030-4,4
33,Float,Transition,اسود,,00102-055-1,,00101-030-4,4
34,Float,Normal,اسود,,00102-055-4,,00101-030-4,4
35,Float,Normal,اسود,,00102-060-4,,00101-030-4,4
36,Float,Normal,اسود,,00102-080-4,,00101-030-4,4
37,Float,Normal,اسود,,00102-100-4,,00101-030-4,4
38,Float,Normal,اسود,,00102-120-4,,00101-030-4,4
39,Float,Normal,برونز,,00103-030-4,,00101-030-4,4
40,Float,Normal,برونز,,00103-037-4,,00101-030-4,4
41,Float,Normal,برونز,,00103-040-4,,00101-030-4,4
42,Float,Normal,برونز,,00103-050-4,,00101-030-4,4
43,Float,Split,برونز,,00103-055-0,,00101-030-4,4
44,Float,Transition,برونز,,00103-055-1,,00101-030-4,4
45,Float,Normal,برونز,,00103-055-4,,00101-030-4,4
46,Float,Normal,برونز,,00103-060-4,,00101-030-4,4
47,Float,Normal,برونز,,00103-080-4,,00101-030-4,4
48,Float,Normal,برونز,,00103-100-4,,00101-030-4,4
49,Float,Normal,برونز,,00103-120-4,,00101-032-4,5
50,Float,Normal,اخضر فاتح,,00104-055-4,,00101-032-4,5
51,Float,Normal,اخضر فاتح,,00104-080-4,,00101-032-4,5
52,Float,Normal,اخضر فاتح,,00104-100-4,,00101-040-4,6
53,Float,Normal,اخضر فاتح,,00104-120-4,,00101-040-4,6
54,Float,Normal,اخضر غامق,,00105-050-4,,00101-040-4,6
55,Float,Normal,اخضر غامق,,00105-053-4,,00101-040-4,6
56,Float,Normal,اخضر غامق,,00105-053-4,,00101-040-4,6
57,Float,Normal,اخضر غامق,,00105-055-4,,00101-040-4,6
58,Float,Transition,ازرق فاتح,,00106-055-1,,00101-040-4,6
59,Float,Normal,ازرق فاتح,,00106-055-4,,00101-040-4,6
60,Float,Normal,ازرق فاتح,,00106-060-4,,00101-040-4,6
61,Float,Normal,ازرق فاتح,,00106-080-4,,00101-040-4,6
62,Float,Normal,ازرق فاتح,,00106-100-4,,00101-040-4,6
63,Float,Normal,ازرق غامق,,00107-050-4,,00101-040-4,6
64,Float,Normal,ازرق غامق,,00107-050-4,,00101-040-4,6
65,Float,Normal,ازرق غامق,,00107-053-4,,00101-040-4,6
66,Float,Normal,ازرق غامق,,00107-053-4,,00101-040-4,6
67,Float,Normal,ازرق غامق,,00107-055-4,,00101-040-4,6
68,Float,Normal,ازرق غامق,,00107-060-4,,00101-040-4,6
69,Float,Normal,بلو غرين,,00108-060-4,,00101-040-4,6
70,Float,Normal,ايفير غرين,,00108-060-4,,00101-040-4,6
71,Float,Normal,اسود غامق,,00109-055-4,,00101-040-4,6
72,Float,Normal,زهر,,00111-060-4,,00101-040-4,6
73,Reflective,Normal,ابيض,,01101-055-4,,00101-040-4,6
74,Reflective,Normal,ابيض,,01101-060-4,,00101-040-4,6
75,Reflective,Normal,ابيض,,01101-080-4,,00101-040-4,6
76,Reflective,Normal,اسود,,01102-040-4,,00101-040-4,6
77,Reflective,Normal,اسود,,01102-053-4,,00101-040-4,6
78,Reflective,Normal,اسود,,01102-055-4,,00101-040-4,6
79,Reflective,Normal,اسود,,01102-060-4,,00101-040-4,6
80,Reflective,Normal,اسود,,01102-080-4,,00101-040-4,6
81,Reflective,Normal,اسود,,01102-100-4,,00101-040-4,6
