i_name,thickness,item_name,origin,itemname_with_thickness
4ملم اسود(SISECAM ),4,اسود,SISECAM,4ملم اسود
6ملم اسود غامق,6,اسود غامق,,6ملم اسود غامق
6ملم مشرط اسود سعودي,6,مشرط اسود سعودي,,6ملم مشرط اسود سعودي
4ملم مرايا اسود,4,مرايا اسود,,4ملم مرايا اسود
5ملم مرايا ازرق,5,مرايا ازرق,,5ملم مرايا ازرق
5ملم مرايا اخضر,5,مرايا اخضر,,5ملم مرايا اخضر
5ملم مرايا زهر,5,مرايا زهر,,5ملم مرايا زهر
10ملم عاكس اسود فاتح(SISECAM ),10,عاكس اسود فاتح,SISECAM,10ملم عاكس اسود فاتح
8ملم عاكس ازرق فاتح,8,عاكس ازرق فاتح,,8ملم عاكس ازرق فاتح
15ملم كريستال(AGC),15,كريستال,AGC,15ملم كريستال
19ملم كريستال,19,كريستال,,19ملم كريستال
8ملم تريبلكس اسود,8,تريبلكس اسود,,8ملم تريبلكس اسود
12ملم تريبلكس مغشى,12,تريبلكس مغشى,,12ملم تريبلكس مغشى
16ملم تريبلكس مغشى,16,تريبلكس مغشى,,16ملم تريبلكس مغشى
4ملم مرايا ابيض,4,مرايا ابيض,,4ملم مرايا ابيض
4ملم مرايا ابيض,4,مرايا ابيض,,4ملم مرايا ابيض
4ملم محجر شلال  ابيض,4,محجر شلال ابيض,,4ملم محجر شلال ابيض
4ملم محجربرش خشن ابيض(SISECAM ),4,محجربرش خشن ابيض,SISECAM,4ملم محجربرش خشن ابيض
5ملم محجر منقط  ابيض,5,محجر منقط ابيض,,5ملم محجر منقط ابيض
4ملم محجر منقط  ابيض,4,محجر منقط ابيض,,4ملم محجر منقط ابيض
4ملم محجر بامبو  ابيض,4,محجر بامبو ابيض,,4ملم محجر بامبو ابيض
4ملم محجر طاووس  برونز,4,محجر طاووس برونز,,4ملم محجر طاووس برونز
4ملم محجر زلحفة اخضر,4,محجر زلحفة اخضر,,4ملم محجر زلحفة اخضر
4ملم محجر زلحفة ازرق,4,محجر زلحفة ازرق,,4ملم محجر زلحفة ازرق
5ملم مقلم اسيد ابيض,5,مقلم اسيد ابيض,,5ملم مقلم اسيد ابيض
5ملم محجر بازل اسود,5,محجر بازل اسود,,5ملم محجر بازل اسود
12ملم كريستال,12,كريستال,,12ملم كريستال
8ملم تريبلكس برونز,8,تريبلكس برونز,,8ملم تريبلكس برونز
2ملم مات(PFG),2,مات,PFG,2ملم مات
4ملم محجر دلتا  ابيض(Cairo),4,محجر دلتا ابيض,Cairo,4ملم محجر دلتا ابيض
6ملم عاكس زهر,6,عاكس زهر,,6ملم عاكس زهر
 2ملم مات (منزوع بريطاني),2,مات,منزوع بريطاني,2ملم مات
15ملم كريستال(AGC),15,كريستال,AGC,15ملم كريستال
4ملم مغشى ابيض,4,مغشى ابيض,,4ملم مغشى ابيض
10ملم تريبلكس ابيض,10,تريبلكس ابيض,,10ملم تريبلكس ابيض
10ملم تريبلكس ابيض,10,تريبلكس ابيض,,10ملم تريبلكس ابيض
12ملم تريبلكس ابيض(Pilkington),12,تريبلكس ابيض,Pilkington,12ملم تريبلكس ابيض
4ملم ياسمين اسيد ابيض,4,ياسمين اسيد ابيض,,4ملم ياسمين اسيد ابيض
8ملم اسود(SISECAM ),8,اسود,SISECAM,8ملم اسود
10ملم اسود(Barazil ),10,اسود,Barazil,10ملم اسود
10ملم اسود(SISECAM ),10,اسود,SISECAM,10ملم اسود
5ملم برونز(Sphinx),5,برونز,Sphinx,5ملم برونز
8ملم اسود(SISECAM ),8,اسود,SISECAM,8ملم اسود
4ملم منقط اسيد برونز(مشكل ),4,منقط اسيد برونز,مشكل,4ملم منقط اسيد برونز
10ملم تريبلكس ابيض(Xinyi),10,تريبلكس ابيض,Xinyi,10ملم تريبلكس ابيض
8ملم ابيض( Kavet ),8,ابيض,Kavet,8ملم ابيض
5.5ملم عاكس ازرق فاتح(Falcon),5.5,عاكس ازرق فاتح,Falcon,5.5ملم عاكس ازرق فاتح
5.5ملم اخضر فاتح( Kavet  ),5.5,اخضر فاتح,Kavet,5.5ملم اخضر فاتح
5.5ملم اخضر فاتح( Kavet  ),5.5,اخضر فاتح,Kavet,5.5ملم اخضر فاتح
5.5ملم اخضر فاتح( Kavet  ),5.5,اخضر فاتح,Kavet,5.5ملم اخضر فاتح
12ملم تريبلكس ابيض(SISECAM),12,تريبلكس ابيض,SISECAM,12ملم تريبلكس ابيض
6ملم عاكس اخضر فاتح(SISECAM),6,عاكس اخضر فاتح,SISECAM,6ملم عاكس اخضر فاتح
12ملم ابيض(U.F.G),12,ابيض,U.F.G,12ملم ابيض
5ملم مرايا ابيض(Trakya ),5,مرايا ابيض,Trakya,5ملم مرايا ابيض
10ملم تريبلكس ابيض(SISECAM),10,تريبلكس ابيض,SISECAM,10ملم تريبلكس ابيض
10ملم تريبلكس ابيض(SISECAM),10,تريبلكس ابيض,SISECAM,10ملم تريبلكس ابيض
12ملم تريبلكس ابيض(SISECAM),12,تريبلكس ابيض,SISECAM,12ملم تريبلكس ابيض
6ملم مرايا ابيض(SISECAM ),6,مرايا ابيض,SISECAM,6ملم مرايا ابيض
6ملم عاكس اسود فاتح(SISECAM ),6,عاكس اسود فاتح,SISECAM,6ملم عاكس اسود فاتح
4ملم محجر شلال  برونز,4,محجر شلال برونز,,4ملم محجر شلال برونز
5ملم برش اسود(TGQingdao),5,برش اسود,TGQingdao,5ملم برش اسود
5ملم محجر بازل اسود,5,محجر بازل اسود,,5ملم محجر بازل اسود
