item_name_sort_index,name,thickness,thickness_sort_index
1,مات,2,1
2,ابيض,2,1
3,ابيض,3,2
4,ابيض,4,3
5,ابيض,5,4
6,ابيض,5.5,5
7,ابيض,6,6
8,ابيض جامبو,6,1
9,ابيض,8,7
10,ابيض جامبو,8,2
11,ابيض جامبو,10,3
12,ابيض,12,8
13,ابيض جامبو,12,4
14,ابيض,15,9
15,ابيض,19,10
16,اسود,4,1
17,اسود,5,2
18,اسود,5.5,3
19,اسود,6,4
20,اسود,8,5
21,اسود,10,6
22,اسود,12,7
23,برونز,3,1
24,برونز,4,2
25,برونز,5,3
26,برونز,5.5,4
27,برونز,6,5
28,برونز,8,6
29,برونز,10,7
30,برونز,12,8
31,اخضر فاتح,5.5,1
32,اخضر فاتح,8,2
33,اخضر فاتح,10,3
34,اخضر فاتح,12,4
35,اخضر غامق,5,1
36,اخضر غامق,5.3,2
37,عاكس اخضر غامق,5.3,3
38,اخضر,5.5,1
39,اخضر غامق,5.5,3
40,اخضر,5.5,1
41,ازرق فاتح,5.5,1
42,ازرق فاتح,6,2
43,ازرق فاتح,8,3
44,ازرق فاتح,10,4
45,ازرق غامق,5,1
46,ازرق غامق,,
47,ازرق غامق,5.3,2
48,ازرق غامق,5.5,3
49,ازرق غامق,6,4
50,بلو غرين,6,1
51,ايفير غرين,6,1
52,اسود غامق,6,1
53,زهر,6,1
54,عاكس ابيض,5.5,1
55,عاكس ابيض,6,2
56,عاكس ابيض,8,1
57,عاكس اسود,4,1
58,عاكس اسود,5.5,2
59,عاكس اسود,6,3
60,عاكس اسود,8,4
61,عاكس اسود,10,5
62,عاكس برونز,4,1
63,عاكس برونز,4,1
64,عاكس برونز,5,2
65,عاكس برونز,,
66,عاكس برونز,5.5,2
67,عاكس برونز,6,3
68,عاكس برونز,8,4
69,عاكس برونز,10,5
70,عاكس اخضر فاتح,5.5,1
71,عاكس اخضر فاتح,6,2
72,عاكس اخضر,8,1
73,عاكس اخضر غامق,4,1
74,عاكس اخضر غامق,5,2
75,عاكس اخضر غامق,5.3,4
76,عاكس اخضر غامق,5.5,5
77,عاكس ازرق فاتح,5.5,1
78,عاكس ازرق فاتح,6,2
79,عاكس ازرق فاتح,8,1
80,عاكس ازرق غامق,,
81,عاكس ازرق غامق,5.3,1
82,عاكس ازرق غامق,5.5,2
83,عاكس ازرق غامق,6,3
84,عاكس زهر,6,1
85,عاكسSuperSilver,6,1
86,LOW-E,6,1
87,LOW-E N70,6,1
88,LOW-E N71,6,1
89,LOW-E,8,2
90,LOW-E N70,8,2
91,LOW-E N70,10,3
92,عاكس LOW-E,10,1
93,مشرط ابيض,6,1
94,مشرط ابيض شفاف,6,1
95,مشرط ابيض دلتا,6,1
96,مشرط اسود,6,1
97,مشرط برونز,6,1
98,مشرط اخضر,6,1
99,مشرط ازرق,6,1
100,مشرط عسلي,6,1
101,برش ابيض,4,1
102,برش ابيض,5.5,2
103,برش ابيض,8,3
