id,supplierAccountNumber,supplierName,firstName,middleName,area,companyType,paymentTerms,currencyId,address,phoneNumber,financialNumber,vat,accountId
5427,40110002,ARABIAN UNITED FLOAT GLASS,,,,,,1,,,,11,170
5429,40110003,مؤسسة انطوان حجار التجارية,,,,,,1,,,70211-601,11,170
5430,40110004,EL NASR GLASS & CRYSTAL,,,,,,1,,,,11,170
5431,40110005,ZHONGBO TECHNOLOY,,,,,,1,,,,11,170
5351,40110006,SAUDI GUARDIAN,,,,,,1,,,,11,170
5855,40110007,PODEMCRANE,,,,,,4,,,,11,170
5433,40110008,AGC Flat Europe  SA/NV,,,,,,4,,,,11,170
5434,40110009,FIRST GLASS CO.,,,,,,1,,,,11,170
5858,40110010,QINHUANGDAO BEIFANG GLASS,,,,,,1,,,,11,170
5436,40110011,INTEX GLASS,Majed,,,,,1,,,,11,170
5865,40110012,QINGDAO BANGMEI HONGTU,Majed,,,,,1,,,,11,170
5438,40110013,XIANNING C.S.G,,,,,,1,,,,11,170
5439,40110014,G.P.B.S.R.L,,,,,,1,,,,11,170
5876,40110015,SHENGZHEN MIRROR INDUSTRY,,,,,,1,,,,11,170
4822,40110016,شركة زكريا عرقجي واولاده,,,Beirut,Trade,29,1,بيروت-ساقية الجنزير,01/814766/7/8,94046-601,11,170
4841,40110017,Kassar Co Aluminium Wood & Glass/محمد قصار,,,Beirut,Laylaki,,1,خلدة,05-441963 / 03-898892,,11,170
4938,40110018,الشركة الوطنية للزجاج والمرايا,البيرخوري,,Beirut,Tempering,29,1,الدكوانة,01-688100/688101,188467,11,170
5342,40110019,RIDER GLASS,,,,,,1,,,,11,170
5343,40110020,Cairo Glass Manufacturing Co.,,,,,,1,,,,11,170
5344,40110021,TANGZHOU YUNBANG TRADING,,,,,,1,,96673255444,,11,170
5345,40110022,Trakya Glass Bulgaria,,,,,,1,,,,11,170
5346,40110023,SISECAM TURKEY,,,,,,1,,,,11,170
5347,40110024,SAINT GOBAIN GLASS EGYPT,,,,,,1,,,,11,170
5348,40110025,SPHINX GLASS(تحاويل نقدية),,,,,,1,,,,11,170
5349,40110026,SPHINX GLASS(اعتمادات),,,,,,1,,,,11,170
5350,40110027,مشتريات محلية,,,,,,1,,,,11,170
5352,40110028,ZENGZHOU HENGHAO,,,,,,1,,,,11,170
5353,40110029,HEBEI CSG GLASS,Majed,,,,,1,,,,11,170
5354,40110030,PILKINGTON ITALY CO.,,,,,,1,,,,11,170
5355,40110031,CAM MERKIZI SAN(Yorglas),,,,,,1,,,,11,170
